Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Вкусно — и точка,предприятие быстрого питания,Быстрое питание; Доставка еды,"Красный проспект, 88",1 этаж,630105,Кропоткинский ж/м,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00 (технический перерыв: пн-вс 4:00-6:00),+07:00,3.7,1604,83833830864,,,,http://vkusnoitochka.ru/app?mt_adset=150244&mt_creative=li&mt_network=2gis-maps&utm_campaign=2gis-maps-dec-jan24_mcd-dig-23-0123&utm_content=link-order&utm_medium=display&utm_source=2gis-maps&utm_term=150244,,,https://vk.com/vkusno_itochka,,,,,https://t.me/vit_russia,,https://youtube.com/@vkusno-itochka,55.050518,82.915408,https://2gis.com/firm/70000001019777957,branch
Вкусно — и точка,предприятие быстрого питания,Быстрое питание; Доставка еды,"улица Фрунзе, 238",3 этаж,630112,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,3.5,628,83833830863,,,,http://vkusnoitochka.ru/app?mt_adset=150244&mt_creative=li&mt_network=2gis-maps&utm_campaign=2gis-maps-dec-jan24_mcd-dig-23-0123&utm_content=link-order&utm_medium=display&utm_source=2gis-maps&utm_term=150244,,,https://vk.com/vkusno_itochka,,,,,https://t.me/vit_russia,,https://youtube.com/@vkusno-itochka,55.039706,82.96037,https://2gis.com/firm/70000001019274439,branch
Вкусно — и точка,предприятие быстрого питания,Быстрое питание; Доставка еды,"Большевистская улица, 43/1",1 этаж,630102,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+07:00,3.0,1419,83833830861,,,,http://vkusnoitochka.ru/app?mt_adset=150244&mt_creative=li&mt_network=2gis-maps&utm_campaign=2gis-maps-dec-jan24_mcd-dig-23-0123&utm_content=link-order&utm_medium=display&utm_source=2gis-maps&utm_term=150244,,,https://vk.com/vkusno_itochka,,,,,https://t.me/vit_russia,,https://youtube.com/@vkusno-itochka,55.008455,82.936919,https://2gis.com/firm/70000001007382661,branch
Вкусно — и точка,предприятие быстрого питания,Быстрое питание; Доставка еды,"Военная улица, 5",4 этаж,630099,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:05-22:55; Вт: 10:05-22:55; Ср: 10:05-22:55; Чт: 10:05-22:55; Пт: 10:05-22:55; Сб: 10:05-22:55; Вс: 10:05-22:55,+07:00,3.2,753,83833830860,,,,http://vkusnoitochka.ru/app?mt_adset=150244&mt_creative=li&mt_network=2gis-maps&utm_campaign=2gis-maps-dec-jan24_mcd-dig-23-0123&utm_content=link-order&utm_medium=display&utm_source=2gis-maps&utm_term=150244,,,https://vk.com/vkusno_itochka,,,,,https://t.me/vit_russia,,https://youtube.com/@vkusno-itochka,55.028515,82.936601,https://2gis.com/firm/70000001006775541,branch
Вкусно — и точка,предприятие быстрого питания,Быстрое питание; Доставка еды,"улица Ватутина, 107",1 этаж,630024,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,2.8,495,83833830862,,,,http://vkusnoitochka.ru/app?mt_adset=150244&mt_creative=li&mt_network=2gis-maps&utm_campaign=2gis-maps-dec-jan24_mcd-dig-23-0123&utm_content=link-order&utm_medium=display&utm_source=2gis-maps&utm_term=150244,,,https://vk.com/vkusno_itochka,,,,,https://t.me/vit_russia,,https://youtube.com/@vkusno-itochka,54.964123,82.935715,https://2gis.com/firm/70000001006770730,branch
Вкусно как дома,,Столовые,"Большевистская улица, 270",2 этаж,630028,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 07:00-14:00; Вт: 07:00-14:00; Ср: 07:00-14:00; Чт: 07:00-14:00; Пт: 07:00-14:00,+07:00,5.0,4,,,,,,,,,,,,,,,,54.9855,82.995343,https://2gis.com/firm/70000001089014377,branch
Вкусно как дома,столовая,Столовые,"улица Энергетиков, 7",,633102,,,Обь,Обь городской округ,Новосибирская область,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+07:00,4.7,111,89639499929,,,,,,,,https://wa.me/79639499929,,,,,,,54.984778,82.696551,https://2gis.com/firm/70000001066139953,branch
Вкусно Разно,служба доставки еды,Быстрое питание; Доставка еды,"улица Ленина, 12/1",,633011,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+07:00,4.8,75,88003021550,,vkusno-razno@yandex.ru,,http://vkusno-razno.ru,,,https://vk.com/vkusnorazno,https://wa.me/79398242906,,,,https://t.me/+79398242906,,,54.765696,83.086396,https://2gis.com/firm/70000001092095863,branch
Вкусно-сытно,кафе-закусочная,Быстрое питание; Доставка еды,"Республиканская улица, 1 к1",,630084,Авиастроителей м-н,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-16:00; Вт: 10:00-16:00; Ср: 10:00-16:00; Чт: 10:00-16:00; Пт: 10:00-16:00,+07:00,4.0,12,89538634762,,,,,,,,https://wa.me/79538634762,,,,,,,55.063822,82.961891,https://2gis.com/firm/70000001024899190,branch
Вкусно&Сытно,,Быстрое питание; Кулинарии; Доставка еды,"Красный проспект, 86/2",1 этаж,630005,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 07:00-16:00; Вт: 07:00-16:00; Ср: 07:00-16:00; Чт: 07:00-16:00; Пт: 07:00-16:00,+07:00,4.8,22,83833752737,,,,http://vkusnosytnogroup.ru,,,https://vk.com/vkusnosytnogroup,https://wa.me/79232235548,,,,,,https://youtube.com/@vkusnosytno,55.049906,82.916997,https://2gis.com/firm/70000001075545736,branch
ВкусноБокс,,Быстрое питание,"проспект Революции, 56",,633261,,,,Ордынский район,Новосибирская область,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+07:00,,,89930274657,,,,,,,,https://wa.me/79930274657,,,,,,,54.362524,81.891212,https://2gis.com/firm/70000001084281005,branch
ВкусноМанты,,Быстрое питание,"10-й Порт-Артурский переулок, 75",,630121,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+07:00,4.8,45,89237773753,,,,,,,,,,,,,,,54.983821,82.792437,https://2gis.com/firm/70000001092183810,branch
Вкусноудома,кафе,Кафе,"улица Авиастроителей, 2/1",1 этаж,630084,Авиастроителей м-н,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,4.7,208,89237426303,,,,http://shafran-nsk.ru/,,,,,,,,,,,55.068572,82.964644,https://2gis.com/firm/70000001071759857,branch
Вкусные манты,кафе,Быстрое питание; Доставка еды,"Владимировская улица, 1/1 к3",,630003,,Железнодорожный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 07:00-20:00; Вт: 07:00-20:00; Ср: 07:00-20:00; Чт: 07:00-20:00; Пт: 07:00-20:00; Сб: 07:00-20:00,+07:00,4.6,127,89231451708,,,,,,,,https://wa.me/79133833969,,,,,,,55.030303,82.893288,https://2gis.com/firm/70000001018150597,branch
Вкусные точки,,Фудмоллы,"улица Немировича-Данченко, 144Б",2 этаж,630087,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,5.0,98,83833800848,,,,,,,,https://wa.me/73833800848,,,,,,,54.990232,82.914199,https://2gis.com/firm/70000001093035186,branch
Вкусные шашлыки,кафе быстрого питания,Быстрое питание; Доставка еды,"Новогодняя, 10 к1",,630087,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,4.7,102,89137007060,,,,,,,,https://wa.me/79137007060,,viber://chat/?number=79137007060,,,,,54.982281,82.902987,https://2gis.com/firm/70000001045726662,branch
Вкусный буфет,,Столовые,"Королёва, 40 к1",1.5 этаж,630015,,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-16:00; Вт: 10:00-16:00; Ср: 10:00-16:00; Чт: 10:00-16:00; Пт: 10:00-16:00,+07:00,5.0,6,,,,,,,,,,,,,,,,55.057205,82.959822,https://2gis.com/firm/70000001047752953,branch
Вкусный день,столовая,Столовые,"проспект Дзержинского, 77",1 этаж,630051,,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+07:00,4.0,89,83832550553,,,,,,,,,,,,,,,55.062343,82.987257,https://2gis.com/firm/70000001027042658,branch
Вкусный уголок,кафе восточной кухни,Быстрое питание,"40 лет Комсомола, 53",,630098,ОбьГЭС м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+07:00,4.1,49,89538886844,89513962678,,,,,,,https://wa.me/79513962678,https://wa.me/79231829479,viber://chat/?number=79538886844,viber://chat/?number=79513962678,,,,54.864688,82.981403,https://2gis.com/firm/70000001032535095,branch
Вкусняшка,кафе,Быстрое питание,"Порт-Артурская улица, 2а",,630121,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-18:30; Вт: 08:00-18:30; Ср: 08:00-18:30; Чт: 08:00-18:30; Пт: 08:00-18:30,+07:00,4.8,15,89537705707,,,,,,,,https://wa.me/79537705707,,,,,,,54.992678,82.801615,https://2gis.com/firm/70000001018057512,branch
Вкусперекус,кафе быстрого питания,Быстрое питание,"улица Станиславского, 40/1 к1",,630079,Станиславский ж/м,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+07:00,3.2,153,89232499911,89137374767,,,,,,,https://wa.me/79232499911,,,,,,,54.969262,82.873618,https://2gis.com/firm/70000001035976684,branch
Вместе,кафе,Кафе; Банкетные залы,"Рабочая улица, 20 к1",1 этаж,630520,,,,Новосибирский район,Новосибирская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+07:00,4.5,18,89039361888,,,,,,,,,,,,,,,54.888203,82.782446,https://2gis.com/firm/70000001077223886,branch
Во блин,кафе,Кафе,"Коммунистическая улица, 11",2 этаж; Фасоль,633564,,,,Маслянинский район,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,4.1,33,89529148535,89529244389,,,,,,https://vk.com/djled,https://wa.me/79529244389,,,,,,,54.3441,84.20571,https://2gis.com/firm/70000001069254216,branch
Во все рёбра,,Рестораны; Доставка еды,"Морской проспект, 2",1 этаж,630090,Верхняя зона Академгородка м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,4.7,1847,83833048434,,mp2@vovserebra.ru,,http://vovserebra.ru,,,https://vk.com/vovserebra,,,,,,,,54.841116,83.110833,https://2gis.com/firm/70000001025771449,branch
Водкин,рюмочная-ресторан,Рестораны; Рюмочные,"Красный проспект, 22",1 этаж,630007,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 14:00-02:00; Вс: 14:00-24:00,+07:00,4.8,38,89137743873,,,,,,,,,,,,,,,55.023015,82.922875,https://2gis.com/firm/70000001100669719,branch
Волна,кафе,Быстрое питание,,,630090,,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,,+07:00,5.0,1,,,,,,,,,,,,,,,,54.830225,83.079843,https://2gis.com/firm/70000001102619954,branch
Восток,г. Новосибирск,Быстрое питание,"улица Сибиряков-Гвардейцев, 49/1 ст31",,630088,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 06:00-19:00; Вт: 06:00-19:00; Ср: 06:00-19:00; Чт: 06:00-19:00; Пт: 06:00-19:00; Сб: 06:00-19:00; Вс: 06:00-19:00,+07:00,,,89231227611,,,,,,,,,,,,,,,54.950617,82.91029,https://2gis.com/firm/70000001101945976,branch
Восток,кафе,Быстрое питание,"улица Мичурина, 12",92-25 место; 1 этаж,630091,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,"Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-13:40, 15:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00",+07:00,3.8,4,89965447084,,,,,,,,https://wa.me/79965447084,,,,,,,55.041389,82.925106,https://2gis.com/firm/70000001069261769,branch
Восток,кафе,Кафе; Быстрое питание,"Станционная 2-я, 30 к13",,630041,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+07:00,4.3,23,,,,,,,,,,,,,,,,55.012235,82.811322,https://2gis.com/firm/70000001065137282,branch
Восток,кафе,Быстрое питание,"улица Петухова, 51Б к4",,630088,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 06:00-19:00; Вт: 06:00-19:00; Ср: 06:00-19:00; Чт: 06:00-19:00; Пт: 06:00-19:00; Сб: 06:00-19:00; Вс: 06:00-19:00,+07:00,4.2,45,89231593648,89232401241,,,,,,,https://wa.me/79231593648,,viber://chat/?number=79231593648,,https://t.me/+79231593648,,,54.944822,82.872999,https://2gis.com/firm/70000001035814210,branch
Восток,кафе,Быстрое питание,"Промышленная улица, 1а/3",1 этаж,633004,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,4.4,61,89059360670,,,,,,,,https://wa.me/79059360670,,,,,,,54.752893,83.132586,https://2gis.com/firm/70000001023738995,branch
Восток,кафе,Быстрое питание,"Ключ-Камышенское Плато, 9 к2",,630114,Ключ-Камышенское плато м-н,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+07:00,4.2,37,89960736609,89255198163,,,,,,,https://wa.me/79255198163,https://wa.me/79960736609,,,,,,54.988932,83.039769,https://2gis.com/firm/70000001088258334,branch
Восточная кухня,,Быстрое питание,,,630108,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 06:00-20:00; Вт: 06:00-20:00; Ср: 06:00-20:00; Чт: 06:00-20:00; Пт: 06:00-20:00; Сб: 06:00-20:00; Вс: 06:00-20:00,+07:00,2.9,11,89628366965,,,,,,,,https://wa.me/79628366965,,,,,,,54.999324,82.85228,https://2gis.com/firm/70000001064533472,branch
Восточная кухня,,Быстрое питание,"Магистральная улица, 10/1",,630901,Пашино м-н,Калининский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,3.4,10,,,,,,,,,https://wa.me/79130048959,https://wa.me/79137165014,,,,,,55.161502,82.98312,https://2gis.com/firm/70000001072154817,branch
Восток фуд,кафе,Быстрое питание; Доставка еды,"Рассветная улица, 17 к4",,630027,,Калининский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00,+07:00,4.7,64,89059596703 (отдел доставки),,,,,,,,https://wa.me/79059596703,,,,,,,55.110916,82.979809,https://2gis.com/firm/70000001043466866,branch
Восток-Запад,кофейня-кондитерская,Кафе,"улица Ильича, 6",1 этаж,630090,Верхняя зона Академгородка м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:30; Вт: 10:00-20:30; Ср: 10:00-20:30; Чт: 10:00-20:30; Пт: 10:00-20:30; Сб: 10:00-20:30; Вс: 10:00-20:30,+07:00,3.9,171,83833302642,,,,,,,,,,,,,,,54.83933,83.095148,https://2gis.com/firm/141265769834835,branch
Восточная кухня,кафе,Быстрое питание,"Пасечная улица, 14 к2",1 этаж,630531,,,,Новосибирский район,Новосибирская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,3.0,6,89538826153,,,,,,,,https://wa.me/79538826153,,,,,,,55.135598,82.994512,https://2gis.com/firm/70000001037815083,branch
Восточная кухня,кафе,Кафе,"улица Бориса Богаткова, 266а",1 этаж,630089,Золотая Нива м-н,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+07:00,3.2,106,89607856768,,,,,,,,https://wa.me/79607856768,,,,,,,55.04228,82.984713,https://2gis.com/firm/70000001006756687,branch
Восточная сказка,кафе,Столовые,"Залесского, 5",1 этаж,630075,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00,+07:00,4.6,155,89529296600,,,,,,,,,,,,,,,55.068171,82.925441,https://2gis.com/firm/70000001029702514,branch
Восточное,кафе,Быстрое питание,"Северный проезд, 12/27",,630088,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00; Вс: 08:00-19:00,+07:00,3.0,12,89237467623,,,,,,,,,,,,,,,54.952815,82.912775,https://2gis.com/firm/70000001040011872,branch
Восточное кафе,,Кафе,"улица Сибиряков-Гвардейцев, 62а",,630088,Затулинский ж/м,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+07:00,4.9,230,89134656962,,rekord154@yandex.ru,,,,,,https://wa.me/79134656962,,,,,,,54.938479,82.896462,https://2gis.com/firm/70000001086696739,branch
Восточные манты,кафе,Быстрое питание,"Учительская улица, 21/1",,630110,Богдана Хмельницкого м-н,Калининский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,3.0,6,89963796836,,,,,,,,,,,,,,,55.079083,82.96814,https://2gis.com/firm/70000001057465541,branch
Восточный двор,кафе,Быстрое питание,"улица Федосеева, 8",1 этаж,630112,Золотая Нива м-н,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,2.8,26,89607878007,,,,,,,,,,,,,,,55.038009,82.964564,https://2gis.com/firm/70000001059090926,branch
Восточный двор,кафе,Быстрое питание,"Лазурная улица, 27/1 к4",,630133,Восточный МЖК ж/м,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,4.5,18,83832392440,,,,,,,,,,,,,,,55.034101,83.017945,https://2gis.com/firm/141265771876661,branch
Вояж,кафе,Кафе,"Р-255 89 километр, 3",,633159,,,,Мошковский район,Новосибирская область,Россия,Пн: 06:00-24:00; Вт: 06:00-24:00; Ср: 06:00-24:00; Чт: 06:00-24:00; Пт: 06:00-24:00; Сб: 06:00-24:00; Вс: 06:00-24:00,+07:00,3.6,40,89132033156,,,,,,,,,,,,,,,55.528034,83.847253,https://2gis.com/firm/70000001022751314,branch
Времена года,дом-ресторан,Рестораны,"Зелёная Роща, 10/1",,633009,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 13:00-02:00; Сб: 13:00-02:00; Вс: 12:00-24:00 (по предварительному звонку),+07:00,4.4,193,88002502451,,,,http://r-vremenagoda.ru,,,https://vk.com/r.vremenagoda,https://wa.me/79133806909,,,,,,,54.721073,83.025202,https://2gis.com/firm/70000001042849440,branch
Время обеда,кафе,Столовые,"улица Мичурина, 12",1 этаж,630091,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+07:00,2.3,23,89831333371,,,,,,,,https://wa.me/79831333371,,,,,,,55.041564,82.923173,https://2gis.com/firm/70000001047268977,branch
Все к столу,,Быстрое питание; Доставка еды,,,633100,,,,Новосибирский район,Новосибирская область,Россия,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-21:00; Вс: 07:00-21:00,+07:00,4.8,34,89235579777,,,,,,,,,,,,,,,55.007517,82.523892,https://2gis.com/firm/70000001097599942,branch
Всё просто,,Пиццерии; Быстрое питание; Точки кофе,"Бердское шоссе, 277",Б2 место; 1 этаж; парковка центра Гигант,630058,Шлюз м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+07:00,5.0,1,83833759665,,,,,,,,,,,,,,,54.846947,83.063212,https://2gis.com/firm/70000001095576959,branch
Встреча,банкетный зал,Кафе; Банкетные залы,"Вокзальная улица, 24/3а",,633131,,,,Мошковский район,Новосибирская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00 (по предварительной записи: пн-вс),+07:00,5.0,9,89139382846,,,,,,,https://vk.com/vstrecha_moshkovo,https://wa.me/79139382846,,,,,,,55.3032,83.619805,https://2gis.com/firm/70000001045202792,branch
Встреча,столовая,Столовые,"Советское шоссе, 5Б",,630541,,,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+07:00,4.2,28,83832915773 (единый номер: пн-вс 9:00-22:00),89139155773,,,http://vstrecha.qr-cafe.ru/,,,,,,,,,,,54.921337,82.954894,https://2gis.com/firm/70000001095211234,branch
Вьетнам,кафе,Кафе,"Вилюйская улица, 17",1 этаж,630126,Энергостроителей ж/м,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,+07:00,4.4,129,89965456789,,,,http://kafevietnam.com,,,,https://wa.me/79963799888,,,,,,,54.999517,83.007351,https://2gis.com/firm/70000001089026434,branch
Вьетнамка,,Кафе,"Большевистская улица, 45/1",0 этаж,630009,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,3.4,83,,,,,,,,,,,,,,,,55.007217,82.937743,https://2gis.com/firm/70000001075858596,branch
Гавар,кафе,Быстрое питание; Доставка еды,"улица Дуси Ковальчук, 73 к1",,630001,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00 (служба доставки: пн-пт 9:00-20:00),+07:00,3.1,348,83832392907 (служба доставки),89237757201,,,,,,,,,,,,,,55.052135,82.893467,https://2gis.com/firm/141265770411453,branch
